(1,):value:1 count:553 
(1,1,1,3,):value:6 count:88 
(1,1,1,3,1,):value:7 count:35 
(1,1,1,3,1,1,):value:9 count:15 
(1,1,1,3,1,1,1,):value:10 count:4 
(1,1,1,3,1,1,1,1,):value:11 count:2 
(1,1,1,3,1,1,1,1,1,):value:13 count:1 
(1,1,1,3,1,1,1,1,2,):value:14 count:1 
(1,1,1,3,1,1,1,2,):value:14 count:1 
(1,1,1,3,1,1,1,3,):value:16 count:1 
(1,1,1,3,1,1,2,):value:11 count:6 
(1,1,1,3,1,1,2,1,):value:13 count:2 
(1,1,1,3,1,1,2,2,):value:14 count:1 
(1,1,1,3,1,1,2,3,):value:16 count:3 
(1,1,1,3,1,1,3,):value:13 count:3 
(1,1,1,3,1,1,4,):value:14 count:2 
(1,1,1,3,1,2,):value:10 count:8 
(1,1,1,3,1,2,1,):value:11 count:7 
(1,1,1,3,1,2,1,1,):value:13 count:1 
(1,1,1,3,1,2,1,2,):value:14 count:1 
(1,1,1,3,1,2,1,3,):value:16 count:4 
(1,1,1,3,1,2,2,):value:13 count:1 
(1,1,1,3,1,3,):value:11 count:8 
(1,1,1,3,1,3,1,):value:13 count:1 
(1,1,1,3,1,3,2,):value:14 count:3 
(1,1,1,3,1,3,3,):value:16 count:1 
(1,1,1,3,1,4,):value:13 count:2 
(1,1,1,3,1,5,):value:14 count:1 
(1,1,1,3,2,):value:9 count:13 
(1,1,1,3,2,1,):value:10 count:2 
(1,1,1,3,2,1,1,):value:11 count:2 
(1,1,1,3,2,1,1,1,):value:13 count:1 
(1,1,1,3,2,1,1,1,1,):value:15 count:1 
(1,1,1,3,2,1,1,2,):value:14 count:1 
(1,1,1,3,2,1,1,2,1,):value:15 count:1 
(1,1,1,3,2,2,):value:11 count:7 
(1,1,1,3,2,2,1,):value:12 count:4 
(1,1,1,3,2,2,1,1,):value:13 count:2 
(1,1,1,3,2,2,1,2,):value:14 count:2 
(1,1,1,3,2,2,2,):value:13 count:1 
(1,1,1,3,2,2,2,1,):value:15 count:1 
(1,1,1,3,2,2,3,):value:14 count:1 
(1,1,1,3,2,2,3,1,):value:15 count:1 
(1,1,1,3,2,2,4,):value:15 count:1 
(1,1,1,3,2,2,4,1,):value:16 count:1 
(1,1,1,3,2,3,):value:12 count:2 
(1,1,1,3,2,3,1,):value:14 count:2 
(1,1,1,3,2,4,):value:14 count:1 
(1,1,1,3,2,4,1,):value:15 count:1 
(1,1,1,3,2,5,):value:15 count:1 
(1,1,1,3,2,5,1,):value:16 count:1 
(1,1,1,3,3,):value:10 count:13 
(1,1,1,3,3,1,):value:11 count:10 
(1,1,1,3,3,1,1,):value:12 count:9 
(1,1,1,3,3,1,1,1,):value:13 count:7 
(1,1,1,3,3,1,1,2,):value:14 count:2 
(1,1,1,3,3,1,2,):value:13 count:1 
(1,1,1,3,3,2,):value:12 count:2 
(1,1,1,3,3,2,1,):value:13 count:1 
(1,1,1,3,3,2,2,):value:14 count:1 
(1,1,1,3,3,3,):value:13 count:1 
(1,1,1,3,3,3,1,):value:15 count:1 
(1,1,1,3,4,):value:11 count:13 
(1,1,1,3,4,1,):value:12 count:13 
(1,1,1,3,4,1,1,):value:13 count:5 
(1,1,1,3,4,1,2,):value:14 count:2 
(1,1,1,3,4,1,3,):value:16 count:3 
(1,1,1,3,5,):value:12 count:11 
(1,1,1,3,5,1,):value:13 count:4 
(1,1,1,3,5,2,):value:14 count:5 
(1,1,1,3,5,3,):value:16 count:1 
(1,1,1,3,6,):value:14 count:1 
(1,1,1,3,6,1,):value:15 count:1 
(1,1,1,3,7,):value:15 count:1 
(1,1,1,3,8,):value:16 count:1 
(1,1,1,4,):value:7 count:1 
(1,1,1,4,1,):value:10 count:1 
(1,1,1,4,1,1,):value:16 count:1 
(1,1,1,5,):value:11 count:1 
(1,1,1,5,1,):value:12 count:1 
(1,1,1,5,1,1,):value:14 count:1 
(1,1,2,):value:4 count:55 
(1,1,2,1,):value:5 count:37 
(1,1,2,1,1,):value:7 count:8 
(1,1,2,1,1,1,):value:9 count:2 
(1,1,2,1,1,1,1,):value:10 count:1 
(1,1,2,1,1,1,1,1,):value:16 count:1 
(1,1,2,1,1,1,2,):value:16 count:1 
(1,1,2,1,1,2,):value:10 count:2 
(1,1,2,1,1,3,):value:13 count:1 
(1,1,2,1,1,4,):value:16 count:2 
(1,1,2,1,2,):value:9 count:7 
(1,1,2,1,2,1,):value:10 count:2 
(1,1,2,1,2,1,1,):value:13 count:1 
(1,1,2,1,2,1,1,1,):value:15 count:1 
(1,1,2,1,2,1,2,):value:14 count:1 
(1,1,2,1,2,1,2,1,):value:15 count:1 
(1,1,2,1,2,2,):value:12 count:2 
(1,1,2,1,2,2,1,):value:13 count:1 
(1,1,2,1,2,2,2,):value:16 count:1 
(1,1,2,1,2,3,):value:13 count:2 
(1,1,2,1,2,3,1,):value:15 count:1 
(1,1,2,1,2,4,):value:15 count:1 
(1,1,2,1,2,4,1,):value:16 count:1 
(1,1,2,1,3,):value:10 count:6 
(1,1,2,1,3,1,):value:12 count:5 
(1,1,2,1,3,1,1,):value:13 count:1 
(1,1,2,1,3,1,2,):value:16 count:2 
(1,1,2,1,3,2,):value:13 count:1 
(1,1,2,1,3,2,1,):value:15 count:1 
(1,1,2,1,4,):value:12 count:9 
(1,1,2,1,4,1,):value:13 count:2 
(1,1,2,1,4,2,):value:14 count:1 
(1,1,2,1,4,3,):value:16 count:1 
(1,1,2,1,5,):value:15 count:6 
(1,1,2,1,5,1,):value:16 count:1 
(1,1,2,2,):value:6 count:12 
(1,1,2,2,1,):value:7 count:6 
(1,1,2,2,1,1,):value:9 count:1 
(1,1,2,2,1,1,1,):value:10 count:1 
(1,1,2,2,1,1,1,1,):value:13 count:1 
(1,1,2,2,1,2,):value:10 count:4 
(1,1,2,2,1,2,1,):value:16 count:1 
(1,1,2,2,1,3,):value:16 count:1 
(1,1,2,2,2,):value:9 count:2 
(1,1,2,2,2,1,):value:13 count:1 
(1,1,2,2,2,1,1,):value:15 count:1 
(1,1,2,2,2,2,):value:15 count:1 
(1,1,2,2,2,2,1,):value:16 count:1 
(1,1,2,2,3,):value:12 count:3 
(1,1,2,2,3,1,):value:13 count:1 
(1,1,2,2,3,2,):value:16 count:1 
(1,1,2,3,):value:7 count:3 
(1,1,2,4,):value:10 count:1 
(1,1,2,4,1,):value:12 count:1 
(1,1,2,4,1,1,):value:14 count:1 
(1,1,2,5,):value:12 count:1 
(1,1,2,5,1,):value:16 count:1 
(1,1,2,6,):value:13 count:1 
(1,1,3,):value:5 count:20 
(1,1,3,1,):value:7 count:11 
(1,1,3,1,1,):value:9 count:5 
(1,1,3,1,1,1,):value:11 count:4 
(1,1,3,1,1,1,1,):value:13 count:1 
(1,1,3,1,1,1,2,):value:14 count:1 
(1,1,3,1,1,1,3,):value:16 count:2 
(1,1,3,1,1,2,):value:16 count:1 
(1,1,3,1,2,):value:10 count:2 
(1,1,3,1,2,1,):value:11 count:2 
(1,1,3,1,2,1,1,):value:14 count:1 
(1,1,3,1,2,1,2,):value:16 count:1 
(1,1,3,1,3,):value:11 count:3 
(1,1,3,1,3,1,):value:13 count:1 
(1,1,3,1,4,):value:14 count:1 
(1,1,3,2,):value:9 count:2 
(1,1,3,2,1,):value:10 count:2 
(1,1,3,2,1,1,):value:11 count:2 
(1,1,3,2,1,1,1,):value:12 count:1 
(1,1,3,2,1,1,1,1,):value:13 count:1 
(1,1,3,2,1,1,2,):value:15 count:1 
(1,1,3,2,1,1,2,1,):value:16 count:1 
(1,1,3,3,):value:10 count:2 
(1,1,3,3,1,):value:11 count:2 
(1,1,3,3,1,1,):value:12 count:1 
(1,1,3,3,1,1,1,):value:16 count:1 
(1,1,3,3,1,2,):value:15 count:1 
(1,1,3,3,1,2,1,):value:16 count:1 
(1,1,3,4,):value:11 count:1 
(1,1,3,4,1,):value:12 count:1 
(1,1,3,5,):value:12 count:2 
(1,1,3,5,1,):value:13 count:1 
(1,1,3,6,):value:13 count:1 
(1,1,3,6,1,):value:15 count:1 
(1,1,3,7,):value:15 count:1 
(1,1,4,):value:6 count:18 
(1,1,4,1,):value:7 count:7 
(1,1,4,1,1,):value:9 count:4 
(1,1,4,1,1,1,):value:11 count:1 
(1,1,4,1,1,1,1,):value:14 count:1 
(1,1,4,1,1,2,):value:13 count:1 
(1,1,4,1,1,3,):value:16 count:2 
(1,1,4,1,2,):value:10 count:1 
(1,1,4,1,2,1,):value:13 count:1 
(1,1,4,1,3,):value:11 count:1 
(1,1,4,1,3,1,):value:14 count:1 
(1,1,4,1,4,):value:16 count:1 
(1,1,4,2,):value:9 count:4 
(1,1,4,2,1,):value:10 count:3 
(1,1,4,2,1,1,):value:11 count:1 
(1,1,4,2,1,1,1,):value:12 count:1 
(1,1,4,2,1,1,1,1,):value:13 count:1 
(1,1,4,2,1,2,):value:12 count:2 
(1,1,4,2,1,2,1,):value:13 count:1 
(1,1,4,2,1,2,2,):value:16 count:1 
(1,1,4,2,2,):value:11 count:1 
(1,1,4,2,2,1,):value:12 count:1 
(1,1,4,2,2,1,1,):value:16 count:1 
(1,1,4,3,):value:10 count:3 
(1,1,4,3,1,):value:11 count:2 
(1,1,4,3,1,1,):value:12 count:2 
(1,1,4,3,1,1,1,):value:13 count:1 
(1,1,4,3,2,):value:12 count:1 
(1,1,4,3,2,1,):value:14 count:1 
(1,1,4,4,):value:12 count:3 
(1,1,4,4,1,):value:13 count:2 
(1,1,4,4,2,):value:14 count:1 
(1,1,4,5,):value:15 count:1 
(1,1,4,5,1,):value:16 count:1 
(1,1,5,):value:9 count:1 
(1,1,5,1,):value:10 count:1 
(1,1,5,1,1,):value:11 count:1 
(1,1,5,1,1,1,):value:15 count:1 
(1,1,5,1,1,1,1,):value:16 count:1 
(1,2,):value:3 count:118 
(1,2,1,):value:4 count:76 
(1,2,1,1,):value:5 count:42 
(1,2,1,1,1,):value:7 count:16 
(1,2,1,1,1,1,):value:8 count:16 
(1,2,1,1,1,1,1,):value:9 count:7 
(1,2,1,1,1,1,1,1,):value:13 count:1 
(1,2,1,1,1,1,1,2,):value:14 count:1 
(1,2,1,1,1,1,1,3,):value:16 count:5 
(1,2,1,1,1,1,2,):value:10 count:5 
(1,2,1,1,1,1,3,):value:13 count:2 
(1,2,1,1,2,):value:8 count:26 
(1,2,1,1,2,1,):value:9 count:11 
(1,2,1,1,2,1,1,):value:10 count:5 
(1,2,1,1,2,1,1,1,):value:12 count:1 
(1,2,1,1,2,1,1,1,1,):value:13 count:1 
(1,2,1,1,2,1,1,2,):value:14 count:1 
(1,2,1,1,2,1,1,3,):value:15 count:2 
(1,2,1,1,2,1,1,3,1,):value:16 count:2 
(1,2,1,1,2,1,1,4,):value:16 count:1 
(1,2,1,1,2,1,2,):value:13 count:3 
(1,2,1,1,2,1,2,1,):value:15 count:1 
(1,2,1,1,2,1,3,):value:15 count:1 
(1,2,1,1,2,1,3,1,):value:16 count:1 
(1,2,1,1,2,1,4,):value:16 count:2 
(1,2,1,1,2,2,):value:10 count:5 
(1,2,1,1,2,2,1,):value:12 count:1 
(1,2,1,1,2,2,1,1,):value:13 count:1 
(1,2,1,1,2,2,2,):value:13 count:1 
(1,2,1,1,2,2,3,):value:14 count:1 
(1,2,1,1,2,2,3,1,):value:15 count:1 
(1,2,1,1,2,2,4,):value:15 count:1 
(1,2,1,1,2,2,4,1,):value:16 count:1 
(1,2,1,1,2,3,):value:12 count:1 
(1,2,1,1,2,3,1,):value:14 count:1 
(1,2,1,1,2,4,):value:13 count:2 
(1,2,1,1,2,4,1,):value:15 count:1 
(1,2,1,1,2,5,):value:15 count:5 
(1,2,1,1,2,5,1,):value:16 count:1 
(1,2,1,2,):value:6 count:27 
(1,2,1,2,1,):value:7 count:9 
(1,2,1,2,1,1,):value:8 count:9 
(1,2,1,2,1,1,1,):value:9 count:4 
(1,2,1,2,1,1,1,1,):value:13 count:3 
(1,2,1,2,1,1,1,2,):value:14 count:1 
(1,2,1,2,1,1,2,):value:10 count:5 
(1,2,1,2,1,1,2,1,):value:14 count:1 
(1,2,1,2,1,1,2,2,):value:16 count:1 
(1,2,1,2,2,):value:8 count:18 
(1,2,1,2,2,1,):value:9 count:13 
(1,2,1,2,2,1,1,):value:10 count:6 
(1,2,1,2,2,1,1,1,):value:13 count:3 
(1,2,1,2,2,1,1,1,1,):value:15 count:2 
(1,2,1,2,2,1,1,2,):value:14 count:1 
(1,2,1,2,2,1,1,3,):value:15 count:1 
(1,2,1,2,2,1,1,3,1,):value:16 count:1 
(1,2,1,2,2,1,1,4,):value:16 count:1 
(1,2,1,2,2,1,2,):value:13 count:2 
(1,2,1,2,2,1,2,1,):value:15 count:1 
(1,2,1,2,2,1,3,):value:14 count:4 
(1,2,1,2,2,1,3,1,):value:15 count:1 
(1,2,1,2,2,1,4,):value:16 count:1 
(1,2,1,2,2,2,):value:10 count:1 
(1,2,1,2,2,3,):value:12 count:1 
(1,2,1,2,2,4,):value:16 count:2 
(1,2,1,3,):value:7 count:1 
(1,2,1,3,1,):value:8 count:1 
(1,2,1,3,1,1,):value:16 count:1 
(1,2,1,4,):value:8 count:6 
(1,2,1,4,1,):value:9 count:2 
(1,2,1,4,1,1,):value:10 count:1 
(1,2,1,4,1,1,1,):value:13 count:1 
(1,2,1,4,1,1,1,1,):value:15 count:1 
(1,2,1,4,1,2,):value:15 count:1 
(1,2,1,4,1,2,1,):value:16 count:1 
(1,2,1,4,2,):value:10 count:1 
(1,2,1,4,3,):value:15 count:1 
(1,2,2,):value:5 count:20 
(1,2,2,1,):value:7 count:5 
(1,2,2,1,1,):value:8 count:5 
(1,2,2,1,1,1,):value:9 count:2 
(1,2,2,1,1,1,1,):value:11 count:2 
(1,2,2,1,1,1,1,1,):value:13 count:1 
(1,2,2,1,1,1,1,2,):value:16 count:1 
(1,2,2,1,1,2,):value:11 count:2 
(1,2,2,1,1,2,1,):value:13 count:1 
(1,2,2,2,):value:8 count:15 
(1,2,2,2,1,):value:9 count:7 
(1,2,2,2,1,1,):value:10 count:2 
(1,2,2,2,1,1,1,):value:11 count:1 
(1,2,2,2,1,1,1,1,):value:15 count:1 
(1,2,2,2,1,1,1,1,1,):value:16 count:1 
(1,2,2,2,1,1,2,):value:13 count:1 
(1,2,2,2,1,2,):value:11 count:4 
(1,2,2,2,1,2,1,):value:13 count:1 
(1,2,2,2,1,2,2,):value:15 count:1 
(1,2,2,2,1,2,2,1,):value:16 count:1 
(1,2,2,2,1,2,3,):value:16 count:2 
(1,2,2,2,1,3,):value:16 count:1 
(1,2,2,2,2,):value:10 count:2 
(1,2,2,2,2,1,):value:11 count:1 
(1,2,2,2,2,2,):value:14 count:1 
(1,2,2,2,2,2,1,):value:15 count:1 
(1,2,2,2,3,):value:11 count:2 
(1,2,2,2,3,1,):value:12 count:1 
(1,2,2,2,3,1,1,):value:13 count:1 
(1,2,2,2,4,):value:15 count:3 
(1,2,2,2,5,):value:16 count:1 
(1,2,3,):value:6 count:18 
(1,2,3,1,):value:7 count:6 
(1,2,3,1,1,):value:8 count:6 
(1,2,3,1,1,1,):value:9 count:4 
(1,2,3,1,1,1,1,):value:11 count:4 
(1,2,3,1,1,1,1,1,):value:16 count:4 
(1,2,3,1,1,2,):value:11 count:1 
(1,2,3,1,1,3,):value:16 count:1 
(1,2,3,2,):value:8 count:12 
(1,2,3,2,1,):value:9 count:5 
(1,2,3,2,1,1,):value:10 count:2 
(1,2,3,2,1,1,1,):value:11 count:2 
(1,2,3,2,1,1,1,1,):value:13 count:1 
(1,2,3,2,1,1,1,1,1,):value:15 count:1 
(1,2,3,2,1,1,1,2,):value:14 count:1 
(1,2,3,2,1,2,):value:11 count:3 
(1,2,3,2,1,2,1,):value:12 count:1 
(1,2,3,2,1,2,1,1,):value:13 count:1 
(1,2,3,2,1,2,2,):value:13 count:1 
(1,2,3,2,1,2,2,1,):value:15 count:1 
(1,2,3,2,1,2,3,):value:16 count:1 
(1,2,3,2,2,):value:10 count:2 
(1,2,3,2,2,1,):value:11 count:2 
(1,2,3,2,2,1,1,):value:12 count:1 
(1,2,3,2,2,1,1,1,):value:13 count:1 
(1,2,3,2,2,1,2,):value:13 count:1 
(1,2,3,2,3,):value:11 count:4 
(1,2,3,2,3,1,):value:12 count:2 
(1,2,3,2,3,1,1,):value:14 count:1 
(1,2,3,2,3,1,2,):value:16 count:1 
(1,2,3,2,3,2,):value:15 count:1 
(1,2,3,2,3,3,):value:16 count:1 
(1,2,3,2,4,):value:15 count:1 
(1,2,4,):value:8 count:4 
(1,2,4,1,):value:10 count:3 
(1,2,4,1,1,):value:11 count:2 
(1,2,4,1,1,1,):value:15 count:2 
(1,2,4,2,):value:11 count:1 
(1,2,4,2,1,):value:15 count:1 
(1,3,):value:4 count:93 
(1,3,1,):value:5 count:56 
(1,3,1,1,):value:7 count:17 
(1,3,1,1,1,):value:8 count:17 
(1,3,1,1,1,1,):value:9 count:5 
(1,3,1,1,1,1,1,):value:10 count:1 
(1,3,1,1,1,1,1,1,):value:13 count:1 
(1,3,1,1,1,1,2,):value:13 count:1 
(1,3,1,1,1,1,3,):value:16 count:3 
(1,3,1,1,1,2,):value:10 count:3 
(1,3,1,1,1,2,1,):value:16 count:1 
(1,3,1,1,1,3,):value:13 count:3 
(1,3,1,1,1,4,):value:16 count:3 
(1,3,1,2,):value:8 count:39 
(1,3,1,2,1,):value:9 count:21 
(1,3,1,2,1,1,):value:10 count:1 
(1,3,1,2,1,1,1,):value:15 count:1 
(1,3,1,2,1,1,1,1,):value:16 count:1 
(1,3,1,2,1,2,):value:12 count:2 
(1,3,1,2,1,2,1,):value:13 count:1 
(1,3,1,2,1,2,2,):value:16 count:1 
(1,3,1,2,1,3,):value:13 count:7 
(1,3,1,2,1,3,1,):value:15 count:6 
(1,3,1,2,1,4,):value:14 count:1 
(1,3,1,2,1,5,):value:15 count:5 
(1,3,1,2,1,5,1,):value:16 count:5 
(1,3,1,2,1,6,):value:16 count:5 
(1,3,1,2,2,):value:10 count:7 
(1,3,1,2,2,1,):value:12 count:1 
(1,3,1,2,2,1,1,):value:13 count:1 
(1,3,1,2,2,2,):value:13 count:2 
(1,3,1,2,2,3,):value:15 count:2 
